"","WW_Name","WW_ID","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","WW_Date"
"232","Plant 4",3231,"Rivers",NA,NA,"Secondary and Higher","Mahanadi, Kathajodi","Proposed"
"233","Plant 5",3232,"Rivers",NA,NA,"Primary","Mahanadi, Kathajodi","Proposed"
"234","Garden Reach",3233,"River",NA,NA,"Secondary and Higher","Hooghly",NA
"235","South Suburban Eat",3234,"River",NA,NA,"Secondary and Higher","Hooghly",NA
"236","Bangur",3235,"River",NA,NA,"Secondary and Higher","Hooghly",NA
"237","Bagha Jatin",3236,"River",NA,NA,"Secondary and Higher","Hooghly",NA
"238","East Kolkata Wetlands",3237,"River",NA,"Wetlands!","None","Hooghly",NA
"239","Untreated Water",3238,"River",NA,NA,"Primary","Hooghly",NA
"240","Untreated Water",3239,"Canal, Sea",NA,NA,"None","Cannoly, Arabian",NA
"241","Untreated Water",3240,"Sea",NA,"Has huge problems with treatment - not all sewage supplied to STP gets treated, and only 1/2 population's sewage collected","None","Arabian",NA
"242","Bhandup",3241,"Creek",NA,NA,"Primary","Bhandup",NA
"243","Ghatkopar",3242,"Creek",NA,NA,"Primary","Ghatkopar",NA
"244","Versova",3243,"Creek",NA,NA,"Primary","Versova",NA
"245","Malad",3244,"Creek",NA,NA,"Primary","Malad",NA
"246","Lovegrove",3245,"Sea",NA,NA,"Primary","Arabian",NA
"247","Colaba",3246,"Sea",NA,NA,"Primary","Arabian",NA
"248","Bandra",3247,"Sea",NA,NA,"Primary","Arabian",NA
"249","Lawspet",3248,"Sea",NA,NA,"Secondary and Higher","Arabian","1980"
"250","Duprayapet",3249,"Sea",NA,NA,"Secondary and Higher","Arabian",NA
"251","Untreated Water",3250,"Sea",NA,NA,"None","Arabian",NA
"252","Untreated Water",3251,"River",NA,NA,"None","Nagavali",NA
"253","Anjana",3252,"River",NA,NA,"Secondary and Higher","Tapi","1996"
"254","Bhesan",3253,"River",NA,NA,"Secondary and Higher","Tapi","1996"
"255","Bhatar",3254,"River",NA,NA,"Secondary and Higher","Tapi","1999"
"256","Karani",3255,"River",NA,NA,"Secondary and Higher","Tapi","1999"
"257","Singanpore",3256,"River",NA,NA,"Secondary and Higher","Tapi","2002"
"258","Bamroli",3257,"River",NA,NA,"Secondary and Higher","Tapi","2002"
"259","Asarma",3258,"River",NA,NA,"Secondary and Higher","Tapi",NA
"260","Khajod",3259,"River",NA,NA,"Secondary and Higher","Tapi",NA
"261","Untreated Water",3260,"River",NA,NA,"None","Tapi",NA
"262","Dindoli",3261,"River",NA,NA,"Secondary and Higher","Tapi","Proposed"
"263","Vairav-Kosad",3262,"River",NA,NA,"Secondary and Higher","Tapi","Proposed"
"264","Plant 1",3263,"River",NA,NA,"Primary","Ulnas",NA
"265","Untreated Water",3264,"River",NA,NA,"None","Ulnas",NA
"266","Untreated Water",3265,"Sea",NA,NA,"None","Arabian",NA
"267","Punta Carretas outfall",3266,"River","-34.936186,-56.159878","100% of water treated; underwater outfalls","Primary","Rio de la Plata",NA
"268","Punta Lobos outfall",3267,"River","-34.904798,-56.313686","Sewage is mixed with storm/river water to get ""acceptible"" levels of beach fecal bacteria","Primary","Rio de la Plata",NA
"269","Punta Yeguas Plant",3268,"River",NA,NA,"Unknown","Rio de la Plata","Proposed"
"270","Untreated Water",3269,NA,NA,NA,"None",NA,NA
"271","Untreated Water",3270,NA,NA,NA,"None",NA,NA
"272","Untreated Water",3271,NA,NA,NA,"None",NA,NA
"273","Untreated Water",3272,NA,NA,NA,"None",NA,NA
"274","Untreated Water",3273,NA,NA,NA,"None",NA,NA
"275","Untreated Water",3274,NA,NA,NA,"None",NA,NA
"276","Untreated Water",3275,NA,NA,NA,"None",NA,NA
"277","Untreated Water",3276,NA,NA,NA,"None",NA,NA
"278","Untreated Water",3277,NA,NA,NA,"None",NA,NA
"279","Untreated Water",3278,NA,NA,NA,"None",NA,NA
"280","Untreated Water",3279,NA,NA,NA,"None",NA,NA
"281","Untreated Water",3280,NA,NA,NA,"None",NA,NA
"282","Untreated Water",3281,NA,NA,NA,"None",NA,NA
