"City_Name","Country_Name","City_ID","Country_ID","Continent_ID","Water_Quality_Notes","Water_Scarcity_Notes","WW_A_ID","WW_ID","WW_Vol","WW_Units","DVTR_ID","WTP_ID","DVSN_ID","DVSN_Name","DVSN_Type","DVSN_Date","DVSN_Loc","DVSN_Vol_Tot","DVSN_Units","DVTR_Name","DVTR_Pop","Pop_Source","DVTR_Tot_Vol","DVTR_Units","WW_Name","WW_Type","WW_Loc","WW_Qual","Treatment_Level","Destination","unsd_sub_region_4","gdp_billions_us","ppp_brookings","population","gdp_per_capita"
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,144,2580,"Atibainha Reservoir - Cantareira system","Reservoir","1975","-23.185655,-46.378269",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,144,2581,"Paiva Castro Reservoir - Cantareira system","Reservoir","1973","-23.331321,-46.676295",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,144,2582,"Jacareí  Reservoir - Cantareira system","Reservoir","1981","-22.928516,-46.422815",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,144,2583,"Aguas Claras Dam - Cantareira system","Reservoir","1973",NA,NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,145,2584,"Billings Reservoir","Reservoir","1937","-23.707331,-46.670437",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,145,2585,"Guarapiranga Reservoir","Reservoir","1906","-23.678643,-46.725626",468493150685,"MLD","Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Paulo","Brazil",14,76,5,"Slums surround many reservoirs creating pollution problems; only 55% sewage treated","Water scarcity has led to conflicts w/ Campinas to the north",NA,NA,NA,NA,1105,146,2586,"Ribeirão do Campo Reservoir - Rio Claro system","Reservoir",NA,"-23.638352,-45.833158",NA,NA,"Companhia de Saneamento Básico do Estado de São Paulo S.A (Sabesp)",26700000,"http://site.sabesp.com.br/site/interna/Default.aspx?secaoId=4",5789,"MLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dublin","Ireland",15,372,1,NA,"Climate change will produce more dry spells",NA,NA,NA,NA,1133,2,NA,NA,NA,NA,NA,NA,NA,"Dublin City Council Water Services Division",1500000,"http://www.dublincity.ie/WaterWasteEnvironment/DrinkingWater/Pages/YourDrinkingWater.aspx",540,"MLD",NA,NA,NA,NA,NA,NA,"Northern Europe",118.72,90.137,1420000,83605.63
"Dublin","Ireland",15,372,1,NA,"Climate change will produce more dry spells",NA,NA,NA,NA,1133,3,NA,NA,NA,NA,NA,NA,NA,"Dublin City Council Water Services Division",1500000,"http://www.dublincity.ie/WaterWasteEnvironment/DrinkingWater/Pages/YourDrinkingWater.aspx",540,"MLD",NA,NA,NA,NA,NA,NA,"Northern Europe",118.72,90.137,1420000,83605.63
"Dublin","Ireland",15,372,1,NA,"Climate change will produce more dry spells",NA,NA,NA,NA,1133,4,NA,NA,NA,NA,NA,NA,NA,"Dublin City Council Water Services Division",1500000,"http://www.dublincity.ie/WaterWasteEnvironment/DrinkingWater/Pages/YourDrinkingWater.aspx",540,"MLD",NA,NA,NA,NA,NA,NA,"Northern Europe",118.72,90.137,1420000,83605.63
"Dublin","Ireland",15,372,1,NA,"Climate change will produce more dry spells",NA,NA,NA,NA,1133,5,NA,NA,NA,NA,NA,NA,NA,"Dublin City Council Water Services Division",1500000,"http://www.dublincity.ie/WaterWasteEnvironment/DrinkingWater/Pages/YourDrinkingWater.aspx",540,"MLD",NA,NA,NA,NA,NA,NA,"Northern Europe",118.72,90.137,1420000,83605.63
"Buenos Aires","Argentina",16,32,5,NA,NA,NA,NA,NA,NA,1132,172,NA,NA,NA,NA,NA,NA,NA,"Aguas y Saneamientos Argentinos (AySA)",3700000,"http://www.aguasbonaerenses.com.ar/",4777,"MLD",NA,NA,NA,NA,NA,NA,"South America",84.7,315.885,16800000,18750
"Buenos Aires","Argentina",16,32,5,NA,NA,NA,NA,NA,NA,1132,173,NA,NA,NA,NA,NA,NA,NA,"Aguas y Saneamientos Argentinos (AySA)",3700000,"http://www.aguasbonaerenses.com.ar/",4777,"MLD",NA,NA,NA,NA,NA,NA,"South America",84.7,315.885,16800000,18750
"Buenos Aires","Argentina",16,32,5,NA,NA,NA,NA,NA,NA,1132,174,NA,NA,NA,NA,NA,NA,NA,"Aguas y Saneamientos Argentinos (AySA)",3700000,"http://www.aguasbonaerenses.com.ar/",4777,"MLD",NA,NA,NA,NA,NA,NA,"South America",84.7,315.885,16800000,18750
"Dhaka","Bangladesh",17,50,4,"GW very overexploited; pollution a big problem","Water supply is not up to demand",NA,NA,NA,NA,1131,161,2782,"Shitalaksha River","River",NA,"23.722802,90.500994",NA,NA,"Dhaka Water Supply and Sewerage Authority (DWASA)",15500000,"http://www.dwasa.org.bd/admin/other_report/Annual_Report%202010-2011.pdf",2150,"MLD",NA,NA,NA,NA,NA,NA,"South Asia",160,NA,20900000,7655.5
"Dhaka","Bangladesh",17,50,4,"GW very overexploited; pollution a big problem","Water supply is not up to demand",NA,NA,NA,NA,1131,161,2781,"Pagla River","River","proposed",NA,NA,NA,"Dhaka Water Supply and Sewerage Authority (DWASA)",15500000,"http://www.dwasa.org.bd/admin/other_report/Annual_Report%202010-2011.pdf",2150,"MLD",NA,NA,NA,NA,NA,NA,"South Asia",160,NA,20900000,7655.5
"Dhaka","Bangladesh",17,50,4,"GW very overexploited; pollution a big problem","Water supply is not up to demand",NA,NA,NA,NA,1131,162,2780,"Meghna River","River","proposed",NA,NA,NA,"Dhaka Water Supply and Sewerage Authority (DWASA)",15500000,"http://www.dwasa.org.bd/admin/other_report/Annual_Report%202010-2011.pdf",2150,"MLD",NA,NA,NA,NA,NA,NA,"South Asia",160,NA,20900000,7655.5
"Dhaka","Bangladesh",17,50,4,"GW very overexploited; pollution a big problem","Water supply is not up to demand",NA,NA,NA,NA,1131,163,2781,"Pagla River","River","proposed",NA,NA,NA,"Dhaka Water Supply and Sewerage Authority (DWASA)",15500000,"http://www.dwasa.org.bd/admin/other_report/Annual_Report%202010-2011.pdf",2150,"MLD",NA,NA,NA,NA,NA,NA,"South Asia",160,NA,20900000,7655.5
"Rio de Janeiro","Brazil",18,76,5,"Pollution is a concern",NA,NA,NA,NA,NA,1130,59,2777,"Rio Guandu","River","1955","-22.808555,-43.627514",NA,NA,"Companhia Estadual de Águas e Esgotos (CEDAE)",9000000,"http://www.cedae.com.br/ri/PerfilVisaoMissao.htm",4900,"MLD",NA,NA,NA,NA,NA,NA,"South America",209.366,176.63,13300000,15741.8
"Rio de Janeiro","Brazil",18,76,5,"Pollution is a concern",NA,NA,NA,NA,NA,1130,60,NA,NA,NA,NA,NA,NA,NA,"Companhia Estadual de Águas e Esgotos (CEDAE)",9000000,"http://www.cedae.com.br/ri/PerfilVisaoMissao.htm",4900,"MLD",NA,NA,NA,NA,NA,NA,"South America",209.366,176.63,13300000,15741.8
