"","DVTR_Name","DVTR_ID","DVTR_Pop","Pop_Source","DVTR_Tot_Vol","Units"
"122","Greater Cairo Water Company",1124,17000000,"http://www.gcwc.com.eg/main/ComHistory_lg_en.jsp",6400,"MLD"
"123","Interagua",1125,2500000,"http://www.interagua.com.ec/hba5.html",1030,"MLD"
"124","Regie de Distribution d'Eau  de la Repulique Democratique du Congo (REGIDESO)",1126,7436000,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2008/12/23/000333038_20081223000400/Rendered/PDF/465450PAD0Repl120080IDAR20081031113.pdf",650,"MLD"
"125","Empresa de Acueducto y Alcantarillado de Bogotá (EAAB)",1127,8432000,"http://www.acueducto.com.co/wpsv61/wps/portal/!ut/p/c5/04_SB8K8xLLM9MSSzPy8xBz9CP0os3gLw2DfYHMPIwN_cyMXA09HV1cLM2MTLydHM6B8pFm8s7ujh4m5j4GBv1GYgYGRn2lwoEFosLGBpzEB3eEg-_DrB8kb4ACOBvp-Hvm5qfoFuREGWSaOigDGFqsQ/dl3/d3/L3dDb0EvUU5RTGtBISEvWUZSdndBISEvNl84MVNNUzdIMjBPSzYxMElMVFJSUVBBM0YyNw!!/",1283,"MLD"
"126","Shanghai Water Authority (SWA)",1128,23000000,"http://www.wwf.se/source.php/1390895/Big%20Cities_Big%20Water_Big%20Challenges_2011.pdf",9463,"MLD"
"127","Aguas Andinas",1129,6000000,"http://www.aguasandinas.cl/la-empresa/como-atendemos/zona-antilco",1900,"MLD"
"128","Companhia Estadual de Águas e Esgotos (CEDAE)",1130,9000000,"http://www.cedae.com.br/ri/PerfilVisaoMissao.htm",4900,"MLD"
"129","Dhaka Water Supply and Sewerage Authority (DWASA)",1131,15500000,"http://www.dwasa.org.bd/admin/other_report/Annual_Report%202010-2011.pdf",2150,"MLD"
"130","Aguas y Saneamientos Argentinos (AySA)",1132,3700000,"http://www.aguasbonaerenses.com.ar/",4777,"MLD"
"131","Dublin City Council Water Services Division",1133,1500000,"http://www.dublincity.ie/WaterWasteEnvironment/DrinkingWater/Pages/YourDrinkingWater.aspx",540,"MLD"
"132","Tokyo Waterworks",1134,12554106,"http://www.waterworks.metro.tokyo.jp/eng/supply/02.pdf",4334,"MLD"
"133","New South Wales Government Metropolitan Water Directorate",1135,4300000,"http://www.waterforlife.nsw.gov.au/sites/default/files/publication-documents/2010_Metropolitan_Water_Plan.pdf",1644,"MLD"
"134","Rand Water",1136,12000000,"http://www.randwater.co.za/Annual%20Reports/Annual%20Reports%202012/RW%20IAR%202011-12%20part%201.pdf",3653,"MLD"
"135","City of Tshwane",1137,NA,NA,200,"MLD"
"136","Thames Waters",1138,14000000,"http://www.thameswater.co.uk/about-us/4625.htm",2600,"MLD"
"137","Affinity Water",1139,3000000,"https://c1016891.ssl.cf3.rackcdn.com/VWC-WRMP-March-2010-Main-Report.pdf",880,"MLD"
"138","Instituto Costarricanse de Acueductos y Alcantarillados (AyA)",1140,NA,NA,NA,NA
"139","El Servicio Autonomo Nacional de Acueductos y Alcantarillados (SANAA)",1141,NA,NA,NA,NA
"140","Kobe Municipal Water System",1142,1700000,"http://www.auick.org/database/apc/apc042/apc04204_03",900,"MLD"
"141","Tehran Water Board",1143,13000000,"http://atlas.tehran.ir/Default.aspx?tabid=247#1000",2833,"MLD"
"142","Saigon Water Supply Company (SAWACO)",1144,7000000,"http://enviroscope.iges.or.jp/modules/envirolib/upload/981/attach/06_chapter3-3hochiminh.pdf",1236,"MLD"
"143","Baghdad Water Authority",1145,6450000,"http://siteresources.worldbank.org/EXTWAT/Resources/4602122-1213366294492/5106220-1213804320899/5.3Baghdad_Water_Authority.pdf",2061,"MLD"
"144","Companhia de Saneamento de Minas Gerais (COPASA)",1146,13000000,"http://f.hypotheses.org/wp-content/blogs.dir/146/files/2011/11/BeloHorizonte_text.pdf",613,"MLD"
"145","A Empresa Baiana de Água e Saneamento (EMBASA)",1147,11800000,"http://www.embasa.ba.gov.br/institucional/embasa/area_atuacao",1037,"MLD (for Salvador's WTPs)"
"146","Companhia de Saneamento Ambiental do Distrito Federal (CAESB)",1148,2590000,"http://www.caesb.df.gov.br/empresa/a-caesb.html",644,"MLD"
"147","Companhia Pernambucana de Saneamento - COMPESA",1149,NA,NA,NA,NA
"148","Companhia de Água e Esgoto do Ceará (CAGECE)",1150,5000000,"http://www.cagece.com.br/numeros/indice-de-cobertura",864,"MLD"
"149","City of Toronto Drinking Water System",1151,NA,NA,422,"MLD"
"150","City of Montréal Drinking Water System",1152,1800000,"http://en.wikipedia.org/wiki/Water_supply_and_sanitation_in_Canada",2023,"MLD"
"151","Chittagong Water Supply and Sewerage Authority",1153,3000000,"http://www.cwasa.org/index.php?cPath=About",175,"MLD"
"152","Departamento Municipal de Água e Esgotos – DMAE",1154,1449684,"http://lproweb.procempa.com.br/pmpa/prefpoa/dmae/usu_doc/pda_completo.pdf",493,"MLD"
"153","Empresa Pública de Águas de Luanda (EPAL)",1155,5000000,"http://epal.webuild.pt/pt/quem-somos",309,"MLD"
"154","Eau de Paris",1156,2234105,"Google",490,"MLD"
"155","Aigues Ter Llobregat",1157,3500000,"https://docs.google.com/viewer?a=v&q=cache:0r0eCC1U1JIJ:www.waterbcn2011.org/download/Water%2520Reuse%2520Project%2520of%2520Barcelona%2520Metropolitan%2520Area.pdf+&hl=en&gl=us&pid=bl&srcid=ADGEESglhCwig9Q4ph890iQk6kATx9e3uoqCWlNGqu4TReNS8djBgl-VsdiEwyWPjIQnUO1q0DvPjX8BqAtb8rZfZ25TBwb2mUtacxKQrJMSKtHZDhSe46Vx72X0FgrN9TUHP3MjOJTt&sig=AHIEtbTSljDD9_DbKKOBhXMRmlKaIst-7A",1301,"MLD (doesn't include 2 newish sources)"
"156","Vodokanal SPB",1158,4848000,"http://www.vodokanal.spb.ru/files/documents/press/otchet/en/ar-2010.pdf",1995,"MLD"
"157","Thailand Metropolitans Waterworks Authority",1159,7950000,"http://www.mwa.co.th/ewtadmin/ewt/mwa_internet_eng/main.php?filename=AnnualReport2009",4757,"MLD"
"158","Ahmedabad Municipal Corporation (AMC)",1160,5600000,"http://www.egovamc.com/Downloads/24x7_Water_Supply_Workshop.pdf",1920,"MLD"
"159","Sistema Intermunicipal para los Servicios de Agua Potable y Alcantarillado (SIAPA)",1161,3700000,"http://www.siapa.gob.mx/sites/default/files/informe_2011.pdf",800,"MLD"
"160","Melbourne Water",1162,NA,NA,1129,"MLD"
"161","Servicios de Agua y Drenaje de Monterrey (SADM)",1163,1100000,"http://en.wikipedia.org/wiki/Urban_water_management_in_Monterrey,_Mexico",NA,NA
"162","Ankara Su ve Kanalizasyon İdaresi (ASKI)",1164,NA,NA,1342,"MLD"
"163","Empresas Publicas de Medellin",1165,3600000,"http://www.epm.com.co/site/Home/Institucional.aspx",776,"MLD"
"164","Busan Water Authority",1166,3600000,"http://water.busan.go.kr/jsp/06_english/html/02/04.jsp",1067,"MLD"
"165","Oslo Water and Sewerage",1167,625000,"http://www.vann-og-avlopsetaten.oslo.kommune.no/vannet_vart/",11,"MLD"
"166","Helsingin Vesi (HSY)",1168,100000,"http://www.hsy.fi/en/waterservices/drinking_water_and_water_quality/Pages/water_from_Lake_Paijanne.aspx",268,"MLD"
"167","Veolia Djur",1169,1122900,"http://www.veoliadjur.am/en/veolia-djur/key-data/",841,"MLD"
"168","Belgrade Waterworks and Sewerage",1170,2000000,"http://www.bvk.rs/eng/about_us.php",575,"MLD"
"169","Sofiyska Voda",1171,1500000,"http://www.sofiyskavoda.bg/default.aspx",607,"MLD"
"170","Wasserversorgung Zürich",1172,501500,"http://www.stadt-zuerich.ch/content/dib/de/index/wasserversorgung/ueber_die_wasserversorgung/zahlen_und_fakten.html",151,"MLD"
"171","HOFOR",1173,1000000,"http://www.hofor.dk/wp-content/uploads/2013/01/faktaark_jan_final.pdf",142,"MLD"
"172","Pražské Vodovody a Kanalizace (PVK)",1174,1260000,"http://www.pvk.cz/o-spolecnosti.html",445,"MLD"
"173","Stockholm Vatten",1175,1000000,"http://www.stockholmvatten.se/en/Drinking-water/",360,"MLD"
"174","Athens Water Supply and Sewerage Company (EYDAP SA)",1176,4300000,"http://www.eydap.gr/index.asp?a_id=236",1150,"MLD"
"175","Mekorot",1177,6200000,"estimate based on http://www.mekorot.co.il/Eng/Mekorot/Pages/FactsFigures.aspx",4110,"MLD"
"176","Gruppo Acea (Azienda Comunale Elettricità e Acque)",1178,9500000,"http://www.acea.it/ViewCategory.aspx?lang=it&catid=2da0b2fed3994ddb81af85df0f144cad",1657,"MLD"
"177","Nagoya City Waterworks & Sewerage Bureau",1179,NA,NA,1032,"MLD"
"178","Kano Ministry of Water Resources",1180,NA,NA,220,"MLD"
"179","Afghan Urban Water Supply and Sewerage Corporation (AUWSSC)",1181,1000000,"http://pubs.usgs.gov/sir/2009/5262/pdf/sir2009-5262_front_text_508_Pt1_i-32_rev111312.pdf",120,"MLD"
"180","Empresa Portuguesa das Águas Livres (EPAL)",1182,3000000,"http://www.epal.pt/epal/EN/Modelo1.aspx?src=QuemSomos&area=3276&menu=3278",576,"MLD"
"181","Hanoi Water Company Ltd.",1183,6400000,"http://www.hawacom.vn/archives/2199",600,"MLD"
"182","Kyivvodocanal",1184,2810000,"http://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%97%D0%B2%D0%B2%D0%BE%D0%B4%D0%BE%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB",900,"MLD"
"183","Autoridad de Acueductos y Alcantarillados (AAA)",1185,3800000,"http://www.acueductospr.com/NUESTRAAUTORIDAD/vision.htm",2336,"MLD"
"184","Apa Nova Bucureşti",1186,2000000,"http://www.apanovabucuresti.ro/en/company/who-we-are/apa-nova-bucuresti/",1430,"MLD"
"185","Kuwait Ministry of Electricity and Water",1187,231982,"http://mew.gov.kw/media/Statistics/2009/water/Chapter%2006.pdf",1251,"MLD"
"186","Yemeni Ministry of Water and Environment",1188,NA,NA,NA,NA
"187","Suvsoz",1189,2000000,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&ved=0CDIQFjAA&url=http%3A%2F%2Fwww.iwmi.cgiar.org%2Fsww2008%2FCentral%2520Asia%2FTashkent%2520summary%2520%2520Report.doc&ei=_z1dUZm3LartiwK0oICwDg&usg=AFQjCNEi5XysyufJccDiFn9g1CHhr1moCA&sig2=5PJ8AFW5NfBcBEjk_IIUtg",1570,"MLD"
"188","Corporación del Acueducto y Alcantarillado de Santo Domingo (CAASD)",1190,2731294,"http://www.caasd.gov.do/njurisdiccion.php",1348,"MLD"
"189","Aguas de La Habana",1191,1250000,"http://www.ahabana.co.cu/nuestra-empresa.php",NA,NA
"190","Unknown Provincial Water Provider",1192,NA,NA,NA,NA
"191","Empresa de Servicios Sanitarios de Paraguay (ESSAP)",1193,NA,NA,330,"MLD"
"192","AZERSU",1194,1136000,"azersu.az",NA,NA
"193","Establishment of the Water of Beirut and Mount Lebanon",1195,NA,NA,NA,NA
"194","Intercommunale bruxelloise de distribution d’ eau (IBDE)",1196,1000000,"http://www.ibde.be/index.cfm?R_ID=60600476&Content_ID=60600476",164,"MLD"
"195","Energie du Mali SA",1197,NA,NA,NA,NA
"196","L'Office national de l'eau et de l'assainissement (ONEA)",1198,182000,"http://www.oneabf.com/lentreprise/chiffres-cles.html",83,"MLD (165 for all areas)"
"197","Syrian Ministry of Housing and Construction",1199,NA,NA,NA,NA
"198","Jiro Sy Rano Malagasy (JIRAMA)",1200,NA,NA,128,"MLD (for capital only)"
"199","Dubai Electricity and Water Authority (DEWA)",1201,460000,"http://www.dewa.gov.ae/aboutus/electStats2012.aspx",1779,"MLD"
"200","Fővárosi Vízművek",1202,2000000,"http://vizmuvek.hu/en",453,"MLD"
"201","Lusaka Water and Sewerage Company (LSWC)",1203,1500000,"http://www.ecfa.or.jp/japanese/act-pf_jka/H17/renkei/zambia/Zambia-Chapter%204-D.pdf",200,"MLD"
"202","Miejskie Przedsiębiorstwo Wodociągów i Kanalizacji",1204,NA,NA,400,"MLD"
"203","Société des Eaux de Guinée",1205,3600000,"http://segguinee.com/Publi-reportage-journal%20AAE.pdf",165,"MLD"
"204","Wiener Wasser",1206,1700000,"http://www.wien.gv.at/wienwasser/pdf/folder-trinkwasser-wien.pdf",370,"MLD"
"205","La Empresa Pública Social de Agua y Saneamiento (EPSAS)",1207,1900000,"http://www.epsas.com.bo/images/pdf/historia2010.pdf",190,"MLD"
"206","Electrogaz",1208,59300,"http://www.ewsa.rw/Docs/ANNUAL%20REPORT_2008.pdf",54,"MLD"
"207","Lilongwe Water Board",1209,700000,"http://www.lwb.mw/ldwd/ANNUAL%20REPORT%202011-2012.pdf",86,"MLD"
"208","Unknown State Water Provider",1210,NA,NA,60,"MLD"
"209","Nampapa Nakhone Luang",1211,NA,NA,120,"MLD"
"210","Liberia Water and Sewerage Corporation (LWSC)",1212,1100000,"http://www.iwawaterwiki.org/xwiki/bin/view/Articles/33)+MONROVIA+(Liberia)+3",10,"MLD"
"211","Bishkekvodokanal",1213,800000,"ftp://taurus2.caf.dlr.de/put/Machwitz/out/VW/BishkekWater.pdf",454,"MLD"
"212","Empresa Nicaragüense de Acueductos y Alcantarillados (ENACAL)",1214,1200000,"http://www.enacal.com.ni/publicacion/02_01.html",440,"MLD"
"213","Ulaanbaatar Water Supply and Sewerage Company (USAG)",1215,1000000,"http://siteresources.worldbank.org/INTEAPREGTOPENVIRONMENT/Resources/TuulMongolia111809.pdf",154,"MLD"
"214","Waternet",1216,NA,NA,234,"MLD"
"215","Georgian Water and Power (GWP)",1217,400000,"http://www.georgianwater.com/main.php?pg=pg&mn1=1&mn2=29",NA,NA
"216","Fundo de Investimento e Patrimonio do Abastecimento de Agua (FIPAG)",1218,NA,NA,144,"MLD"
"217","Jordan Water Company",1219,2200000,"http://link.springer.com/article/10.1007/s11269-008-9266-4",465,"MLD"
"218","Almaty SU",1220,1500000,"http://www.almatysu.kz/index.php/ru/about",1309,"MLD"
