"","DVSN_Name","DVSN_ID","DVSN_Type","DVSN_Date","DVSN_Loc","DVSN_Vol_Tot","Unit","Unmapped?"
"222","Cottonwood Creek",2227,"River",NA,"36.417575, -118.042709",NA,NA,NA
"223","Schoharie Reservoir",2228,"Reservoir",NA,"42.390581,-74.448856",NA,NA,NA
"224","Cannonsville Reservoir",2229,"Reservoir",NA,"42.067327,-75.371459",NA,NA,NA
"225","Pepacton Reservoir",2230,"Reservoir",NA,"42.076757,-74.959386",NA,NA,NA
"226","Ashokan Reservoir",2231,"Reservoir",NA,"41.951575,-74.207007",NA,NA,NA
"227","Neversink Reservoir",2232,"Reservoir",NA,"41.825572,-74.644057",NA,NA,NA
"228","Rondout Reservoir",2233,"Reservoir",NA,"41.803822,-74.429137",NA,NA,NA
"229","Boyds Corner Reservoir",2234,"Reservoir",NA,"41.45138,-73.739769",NA,NA,NA
"230","West Branch Reservoir",2235,"Reservoir",NA,"41.41396,-73.696474",NA,NA,NA
"231","Middle Branch Reservoir",2236,"Reservoir",NA,"41.391749,-73.647808",NA,NA,NA
"232","East Branch Reservoir",2237,"Reservoir",NA,"41.397721,-73.589476",NA,NA,NA
"233","Bog Brook Reservoir",2238,"Reservoir",NA,"41.406042,-73.589222",NA,NA,NA
"234","Croton Falls Reservoir",2239,"Reservoir",NA,"41.359932,-73.666341",NA,NA,NA
"235","Amawalk Reservoir",2240,"Reservoir",NA,"41.29019,-73.754495",NA,NA,NA
"236","New Croton Reservoir",2241,"Reservoir",NA,"41.227959,-73.851306",NA,NA,NA
"237","Muscoot Reservoir",2242,"Reservoir",NA,"41.262421,-73.708956",NA,NA,NA
"238","Cross River Reservoir",2243,"Reservoir",NA,"41.264905,-73.663891",NA,NA,NA
"239","Titicus Reservoir",2244,"Reservoir",NA,"41.327342,-73.646832",NA,NA,NA
"240","Diverting Reservoir",2245,"Reservoir",NA,"41.375681,-73.638614",NA,NA,NA
"241","Kenisco Reservoir",2246,"Reservoir",NA,"41.074935,-73.766695",NA,NA,NA
"242","Glenelda Lake",2247,"Lake",NA,"41.424097,-73.685499",NA,NA,NA
"243","Gilead Lake",2248,"Lake",NA,"41.400473,-73.671487",NA,NA,NA
"244","Kirk Lake",2249,"Lake",NA,"41.382154,-73.755525",NA,NA,NA
"245","San Antonio Reservoir",2250,"Reservoir",NA,"37.572882,-121.845602",NA,NA,NA
"246","Lake del Valle",2251,"Lake",NA,"37.613586,-121.745216",NA,NA,NA
"247","Hetch Hetchy Reservoir",2252,"Reservoir",NA,"37.949003,-119.78617",NA,NA,NA
"248","Calaveras Reservoir",2253,"Reservoir",NA,"37.490557,-121.823408",NA,NA,NA
"249","Cherry Lake",2254,"Lake",NA,"37.978862,-119.910003",NA,NA,NA
"250","Lake Eleanor",2255,"Lake",NA,"37.976003,-119.879564",NA,NA,NA
"251","Lower Crystal Springs Reservoir",2256,"Reservoir",NA,"37.528277,-122.362893",NA,NA,NA
"252","Upper Crystal Springs Reservoir",2257,"Reservoir",NA,"37.508466,-122.349418",NA,NA,NA
"253","Pilarcitos Lake",2258,"Reservoir",NA,"37.548967,-122.423493",NA,NA,NA
"254","Priest Reservoir",2259,"Reservoir",NA,"37.801443,-120.265994",NA,NA,NA
"255","Anderson Lake",2260,"Lake",NA,"37.167533,-121.627285",NA,NA,NA
"256","Calero Reservoir",2261,"Reservoir",NA,"37.182373,-121.791307",NA,NA,NA
"257","Almaden Reservoir",2262,"Reservoir",NA,"37.164267,-121.829069",NA,NA,NA
"258","Coyote Lake",2263,"Lake",NA,"37.116663,-121.548885",NA,NA,NA
"259","Chesbro Reservoir",2264,"Reservoir",NA,"37.117211,-121.695735",NA,NA,NA
"260","Guadalupe Reservoir",2265,"Reservoir",NA,"37.19851,-121.878382",NA,NA,NA
"261","Lexington Reservoir",2266,"Reservoir",NA,"37.199775,-121.98911",NA,NA,NA
"262","Uvas Reservoir",2267,"Reservoir",NA,"37.067643,-121.69308",NA,NA,NA
"263","Vasona Reservoir",2268,"Reservoir",NA,"37.246386,-121.96539",NA,NA,NA
"264","Stevens Creek Reservoir",2269,"Reservoir",NA,"37.297954,-122.077209",NA,NA,NA
"265","Santa Clara Valley Basin - SJWC Wells",2270,"Groundwater",NA,"37.326762, -121.921877",NA,NA,NA
"266","Gilroy-Hollister Valley Basin",2271,"Groundwater",NA,"37.084539, -121.580754",NA,NA,NA
"267","Lake Elsman",2272,"Lake",NA,"37.131103,-121.929452",NA,NA,NA
"268","Floridan Aquifer",2273,"Groundwater",NA,"30.366951,-81.669823",NA,NA,NA
"269","White River - White River Plant",2274,"River",NA,"39.780648,-86.189312",NA,NA,NA
"270","Morse Reservoir",2275,"Reservoir",NA,"40.07505,-86.048061",NA,NA,NA
"271","Geist Reservoir",2276,"Reservoir",NA,"39.910395,-85.981605",NA,NA,NA
"272","Fall Creek - Fall Creek Plant",2277,"River",NA,"39.834237,-86.122154",NA,NA,NA
"273","Eagle Creek Reservoir",2278,"Reservoir",NA,"39.830818,-86.306045",NA,NA,NA
"274","Unnamed Aquifer",2279,"Groundwater",NA,"39.77688,-86.163815",NA,NA,NA
"275","San Andreas Lake",2280,"Lake",NA,"37.583358,-122.413814",NA,NA,NA
"276","Moccasin Reservoir",2281,"Reservoir",NA,"37.810954,-120.30552",NA,NA,NA
"277","Don Pedro Reservoir",2282,"Reservoir",NA,"37.70501,-120.420812",NA,NA,NA
"278","Colorado River (TX) - Albert R. Davis WTP",2283,"River",NA,"30.313413,-97.776521",NA,NA,NA
"279","Colorado River (TX) - Albert H. Ullrich WTP",2284,"River",NA,"30.295591,-97.786327",NA,NA,NA
"280","Griggs Reservoir - dammed Scioto R.",2285,"River",NA,"40.018182,-83.094842",NA,NA,NA
"281","O'Shaughnessy Reservoir - dammed Scioto R.",2286,"River",NA,"40.15654,-83.126342",NA,NA,NA
